Repeat Classes
==============
Total Sequences: 28
Total Length: 737210219 bp
Class                  Count        bpMasked    %masked
=====                  =====        ========     =======
DNA                    4494         1952841      0.26% 
    CMC-EnSpm          17629        15578746     2.11% 
    MULE-MuDR          3551         1503572      0.20% 
    MuLE-MuDR          2222         1219015      0.17% 
    PIF-Harbinger      2995         1350431      0.18% 
    hAT-Ac             9323         4049051      0.55% 
    hAT-Tag1           1081         1447419      0.20% 
    hAT-Tip100         1069         470373       0.06% 
LINE                   --           --           --   
    CR1                426          80408        0.01% 
    I-Jockey           697          242637       0.03% 
    L1                 5107         3966021      0.54% 
    L2                 1101         228056       0.03% 
    Penelope           552          93147        0.01% 
    R1-LOA             441          95170        0.01% 
    RTE-BovB           3102         1415185      0.19% 
LTR                    3617         1353612      0.18% 
    Caulimovirus       2115         2139942      0.29% 
    Copia              46656        38692697     5.25% 
    ERVK               206          59023        0.01% 
    Gypsy              135047       199760790    27.10% 
    Pao                9            1725         0.00% 
RC                     --           --           --   
    Helitron           11044        5952907      0.81% 
SINE                   --           --           --   
    tRNA-RTE           124          15602        0.00% 
Unknown                336543       136174236    18.47% 
                      ---------------------------------
    total interspersed 589151       417842606    56.68%

Satellite              1487         421444       0.06% 
Simple_repeat          1229         102822       0.01% 
---------------------------------------------------------
Total                  591867       418366872    56.75%

Repeat Stats
============
Total Sequences: 28
Total Length: 737210219 bp
      ID               Count      bpMasked      %masked
================       =====      ========       =======
   rnd-1_family-0      7133         7741604      1.05% 
   rnd-1_family-1      6970         7904475      1.07% 
  rnd-1_family-10      30           804          0.00% 
 rnd-1_family-100      78           16845        0.00% 
 rnd-1_family-101      46           68234        0.01% 
 rnd-1_family-102      813          2726730      0.37% 
 rnd-1_family-103      19           13809        0.00% 
 rnd-1_family-104      221          241525       0.03% 
 rnd-1_family-105      2290         410504       0.06% 
 rnd-1_family-106      580          417799       0.06% 
 rnd-1_family-107      113          40997        0.01% 
 rnd-1_family-108      2            549          0.00% 
 rnd-1_family-109      34           4051         0.00% 
 rnd-1_family-110      110          10830        0.00% 
 rnd-1_family-111      281          344126       0.05% 
 rnd-1_family-112      1081         1445917      0.20% 
 rnd-1_family-113      13           4302         0.00% 
 rnd-1_family-114      15           5029         0.00% 
 rnd-1_family-115      194          84871        0.01% 
 rnd-1_family-116      3            628          0.00% 
 rnd-1_family-118      78           28181        0.00% 
 rnd-1_family-119      45           15703        0.00% 
  rnd-1_family-12      92           25418        0.00% 
 rnd-1_family-121      571          1945432      0.26% 
 rnd-1_family-122      97           27446        0.00% 
 rnd-1_family-123      872          404499       0.05% 
 rnd-1_family-124      21           7994         0.00% 
 rnd-1_family-125      45           24803        0.00% 
 rnd-1_family-126      1            133          0.00% 
 rnd-1_family-127      298          365017       0.05% 
 rnd-1_family-128      524          1052557      0.14% 
 rnd-1_family-129      419          114502       0.02% 
  rnd-1_family-13      9            311          0.00% 
 rnd-1_family-130      29           12699        0.00% 
 rnd-1_family-131      17           7873         0.00% 
 rnd-1_family-132      107          27576        0.00% 
 rnd-1_family-133      243          39371        0.01% 
 rnd-1_family-134      149          10675        0.00% 
 rnd-1_family-135      25           10926        0.00% 
 rnd-1_family-137      5            379          0.00% 
 rnd-1_family-138      815          631960       0.09% 
 rnd-1_family-139      428          62747        0.01% 
  rnd-1_family-14      219          19165        0.00% 
 rnd-1_family-140      813          295419       0.04% 
 rnd-1_family-141      1133         662996       0.09% 
 rnd-1_family-142      67           44659        0.01% 
 rnd-1_family-143      8            2467         0.00% 
 rnd-1_family-145      9            1725         0.00% 
 rnd-1_family-147      42           5448         0.00% 
 rnd-1_family-148      92           26531        0.00% 
 rnd-1_family-150      8            1735         0.00% 
 rnd-1_family-151      6            1496         0.00% 
 rnd-1_family-152      5            1047         0.00% 
 rnd-1_family-153      6            261          0.00% 
 rnd-1_family-154      42           10722        0.00% 
 rnd-1_family-155      553          73892        0.01% 
 rnd-1_family-156      816          119032       0.02% 
 rnd-1_family-157      52           21856        0.00% 
 rnd-1_family-158      466          814577       0.11% 
 rnd-1_family-159      257          336696       0.05% 
  rnd-1_family-16      80           8822         0.00% 
 rnd-1_family-160      22           1126         0.00% 
 rnd-1_family-161      47           3797         0.00% 
 rnd-1_family-162      2886         606596       0.08% 
 rnd-1_family-163      33           2583         0.00% 
 rnd-1_family-164      3            118          0.00% 
 rnd-1_family-165      1310         484776       0.07% 
 rnd-1_family-166      544          1344881      0.18% 
 rnd-1_family-167      51           13736        0.00% 
 rnd-1_family-168      38           6648         0.00% 
 rnd-1_family-169      265          28193        0.00% 
  rnd-1_family-17      9            206          0.00% 
 rnd-1_family-170      143          17704        0.00% 
 rnd-1_family-171      195          34216        0.00% 
 rnd-1_family-172      16           4728         0.00% 
